indicator,metric,accuracy_20250207_nosector.csv,accuracy_20250207_nosector2.csv,accuracy_20250207_nosector2_lowtemp.csv,accuracy_4o_20250206.csv,accuracy_phi4_20250206.csv,accuracy_phi4_20250207.csv,manually_coded_for_accuracy.csv
Homelessness,accuracy,0.983870967741936,0.967741935483871,0.975806451612903,0.959677419354839,0.943548387096774,0.983870967741936,0.991935483870968
Homelessness,f1,0.75,0.6,0.666666666666667,0.615384615384615,0.461538461538462,0.8,0.909090909090909
Homelessness,precision,1,0.6,0.75,0.5,0.375,0.8,0.833333333333333
Homelessness,recall,0.6,0.6,0.6,0.8,0.6,0.8,1
Housing,accuracy,0.798387096774194,0.798387096774194,0.82258064516129,0.75,0.790322580645161,0.782258064516129,0.862903225806452
Housing,f1,0.766355140186916,0.793388429752066,0.796296296296296,0.730434782608696,0.790322580645161,0.761061946902655,0.857142857142857
Housing,precision,0.788461538461538,0.727272727272727,0.811320754716981,0.7,0.710144927536232,0.741379310344828,0.796875
Housing,recall,0.745454545454546,0.872727272727273,0.781818181818182,0.763636363636364,0.890909090909091,0.781818181818182,0.927272727272727
Incremental,accuracy,0.895161290322581,0.854838709677419,0.911290322580645,0.879032258064516,0.862903225806452,0.862903225806452,0.959677419354839
Incremental,f1,0.48,0.307692307692308,0.421052631578947,0.285714285714286,0.413793103448276,0.32,0.761904761904762
Incremental,precision,0.4,0.25,0.444444444444444,0.272727272727273,0.315789473684211,0.266666666666667,0.727272727272727
Incremental,recall,0.6,0.4,0.4,0.3,0.6,0.4,0.8
Market,accuracy,1,0.991935483870968,0.991935483870968,0.991935483870968,1,1,1
Market,f1,0,0,0,0,0,0,0
Market,precision,0,0,0,0,0,0,0
Market,recall,0,0,0,0,0,0,0
Rural,accuracy,0.911290322580645,0.92741935483871,0.919354838709677,0.895161290322581,0.92741935483871,0.919354838709677,0.991935483870968
Rural,f1,0.666666666666667,0.756756756756757,0.705882352941177,0.606060606060606,0.756756756756757,0.722222222222222,0.972972972972973
Rural,precision,0.733333333333333,0.736842105263158,0.75,0.666666666666667,0.736842105263158,0.722222222222222,0.947368421052632
Rural,recall,0.611111111111111,0.777777777777778,0.666666666666667,0.555555555555556,0.777777777777778,0.722222222222222,1
Social,accuracy,0.951612903225806,0.935483870967742,0.92741935483871,0.895161290322581,0.919354838709677,0.943548387096774,0.975806451612903
Social,f1,0.25,0.333333333333333,0.307692307692308,0.133333333333333,0.375,0.363636363636364,0.769230769230769
Social,precision,0.5,0.333333333333333,0.285714285714286,0.111111111111111,0.3,0.4,0.714285714285714
Social,recall,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.833333333333333
Transitional,accuracy,0.903225806451613,0.870967741935484,0.895161290322581,0.830645161290323,0.838709677419355,0.887096774193548,0.943548387096774
Transitional,f1,0.806451612903226,0.75,0.771929824561403,0.64406779661017,0.722222222222222,0.774193548387097,0.888888888888889
Transitional,precision,0.78125,0.705882352941177,0.814814814814815,0.655172413793103,0.619047619047619,0.75,0.848484848484848
Transitional,recall,0.833333333333333,0.8,0.733333333333333,0.633333333333333,0.866666666666667,0.8,0.933333333333333
Urban,accuracy,0.895161290322581,0.854838709677419,0.870967741935484,0.879032258064516,0.854838709677419,0.895161290322581,0.975806451612903
Urban,f1,0.863157894736842,0.82,0.826086956521739,0.827586206896552,0.826923076923077,0.863157894736842,0.970873786407767
Urban,precision,0.931818181818182,0.836734693877551,0.926829268292683,1,0.811320754716981,0.931818181818182,0.961538461538461
Urban,recall,0.803921568627451,0.803921568627451,0.745098039215686,0.705882352941177,0.843137254901961,0.803921568627451,0.980392156862745
